Data from 'person_bbox.pkl':
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0445_0_normal.png: {'bbox': array([[234, 173, 407, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1330_0_normal.png: {'bbox': array([[209, 303, 426, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1265_0_normal.png: {'bbox': array([[233, 172, 406, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0525_0_normal.png: {'bbox': array([[232, 171, 408, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0145_0_normal.png: {'bbox': array([[234, 234, 382, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1060_0_normal.png: {'bbox': array([[228, 185, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0105_0_normal.png: {'bbox': array([[226, 187, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1015_0_normal.png: {'bbox': array([[228, 180, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1480_0_normal.png: {'bbox': array([[239, 315, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1375_0_normal.png: {'bbox': array([[235, 315, 398, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1255_0_normal.png: {'bbox': array([[232, 173, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0590_0_normal.png: {'bbox': array([[214, 224, 398, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1230_0_normal.png: {'bbox': array([[207, 176, 404, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1040_0_normal.png: {'bbox': array([[228, 191, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1175_0_normal.png: {'bbox': array([[232, 189, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1415_0_normal.png: {'bbox': array([[237, 315, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0300_0_normal.png: {'bbox': array([[227, 185, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1115_0_normal.png: {'bbox': array([[231, 192, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0710_0_normal.png: {'bbox': array([[242, 284, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0765_0_normal.png: {'bbox': array([[242, 285, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0160_0_normal.png: {'bbox': array([[246, 172, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0290_0_normal.png: {'bbox': array([[226, 187, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0535_0_normal.png: {'bbox': array([[238, 171, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1350_0_normal.png: {'bbox': array([[238, 317, 392, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0620_0_normal.png: {'bbox': array([[241, 277, 392, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0695_0_normal.png: {'bbox': array([[242, 284, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1470_0_normal.png: {'bbox': array([[238, 315, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0425_0_normal.png: {'bbox': array([[230, 195, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0120_0_normal.png: {'bbox': array([[230, 175, 405, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0890_0_normal.png: {'bbox': array([[226, 170, 395, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1355_0_normal.png: {'bbox': array([[238, 317, 392, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0485_0_normal.png: {'bbox': array([[238, 171, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0815_0_normal.png: {'bbox': array([[241, 285, 417, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0190_0_normal.png: {'bbox': array([[234, 191, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1315_0_normal.png: {'bbox': array([[207, 240, 402, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1005_0_normal.png: {'bbox': array([[229, 191, 408, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0200_0_normal.png: {'bbox': array([[227, 188, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0480_0_normal.png: {'bbox': array([[231, 182, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0150_0_normal.png: {'bbox': array([[237, 205, 397, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0365_0_normal.png: {'bbox': array([[230, 195, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0205_0_normal.png: {'bbox': array([[230, 194, 408, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1090_0_normal.png: {'bbox': array([[228, 185, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1430_0_normal.png: {'bbox': array([[238, 315, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0945_0_normal.png: {'bbox': array([[228, 193, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1525_0_normal.png: {'bbox': array([[238, 315, 417, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0575_0_normal.png: {'bbox': array([[243, 178, 401, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0875_0_normal.png: {'bbox': array([[234, 170, 398, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0885_0_normal.png: {'bbox': array([[227, 170, 395, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0115_0_normal.png: {'bbox': array([[224, 177, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0505_0_normal.png: {'bbox': array([[227, 174, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0780_0_normal.png: {'bbox': array([[241, 285, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1215_0_normal.png: {'bbox': array([[199, 176, 399, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0085_0_normal.png: {'bbox': array([[227, 187, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0030_0_normal.png: {'bbox': array([[230, 181, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1020_0_normal.png: {'bbox': array([[231, 191, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0385_0_normal.png: {'bbox': array([[229, 184, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0415_0_normal.png: {'bbox': array([[229, 185, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0605_0_normal.png: {'bbox': array([[216, 272, 423, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0070_0_normal.png: {'bbox': array([[230, 190, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0915_0_normal.png: {'bbox': array([[234, 181, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0165_0_normal.png: {'bbox': array([[250, 170, 420, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1465_0_normal.png: {'bbox': array([[238, 315, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0905_0_normal.png: {'bbox': array([[239, 169, 408, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0565_0_normal.png: {'bbox': array([[235, 170, 404, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1500_0_normal.png: {'bbox': array([[238, 315, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0775_0_normal.png: {'bbox': array([[242, 285, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0630_0_normal.png: {'bbox': array([[247, 279, 393, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0910_0_normal.png: {'bbox': array([[248, 169, 418, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1160_0_normal.png: {'bbox': array([[228, 190, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1280_0_normal.png: {'bbox': array([[227, 170, 400, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1445_0_normal.png: {'bbox': array([[236, 315, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
